Layout,Correctness
Stripes,1.00
Stripes,1.00
Stripes,0.67
Stripes,1.00
Stripes,0.67
Stripes,1.00
Stripes,1.00
Stripes,1.00
Stripes,0.67
Stripes,0.67
Stripes,1.00
Stripes,1.00
Stripes,1.00
Stripes,0.33
Stripes,0.67
Stripes,1.00
Stripes,1.00
Stripes,1.00
Stripes,1.00
Stripes,1.00
Stripes,1.00
Segments,0.67
Segments,1.00
Segments,0.50
Segments,0.50
Segments,1.00
Segments,1.00
Segments,1.00
Segments,1.00
Segments,0.67
Segments,1.00
Segments,1.00
Segments,1.00
Segments,1.00
Segments,0.67
Segments,0.67
Segments,1.00
Segments,1.00
Segments,1.00
Segments,0.67
Segments,1.00
Segments,1.00
Shape,1.00
Shape,1.00
Shape,0.67
Shape,1.00
Shape,1.00
Shape,1.00
Shape,1.00
Shape,1.00
Shape,0.67
Shape,0.67
Shape,1.00
Shape,1.00
Shape,1.00
Shape,0.50
Shape,0.50
Shape,1.00
Shape,0.67
Shape,1.00
Shape,1.00
Shape,1.00
Shape,1.00
Separate Arrows,0.67
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,0.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,1.00
Separate Arrows,0.67
Separate Arrows,0.67
Separate Arrows,1.00
